cluster_size,consensus_count,consensus_xy_rmse_m,consensus_z_rmse_m,correspondence_count,correspondence_global_indices,correspondence_local_indices,correspondence_xy_rmse_m,correspondence_z_rmse_m,estimated_heading_deg,estimated_x_m,estimated_y_m,estimated_z_m,evaluated_hypothesis_count,fitness,fitness_reference,fitness_reference_point_count,fitness_reference_spacing_m,heading_error_deg,heading_measurement_deg,local_feature_count,overlap,runtime_s,site,status,truth_x_m,truth_y_m,truth_z_m,xy_error_m,z_error_m
2,0,inf,inf,4,"[488, 546, 545, 495]","[1, 3, 2, 0]",8.23354833568095,1.1363523244823526,0.9604486718677547,-444.8169472785816,-161.1857644590951,8.506591737270355,183,-0.498508336214311,raw_lidar_xy_decimated,4666,0.75,1.2326525491061204,-0.27220387723835904,6,1.0,13.821838597999886,1,solution,-0.005049131810665131,-0.0011176990810781717,-0.49565547704696655,473.11532958051976,9.002247214317322
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,4352,0.75,,-1.9318747485652559,6,,8.981080220997683,2,no_solution,,,,,
5,0,inf,inf,5,"[375, 370, 340, 318, 384]","[5, 2, 1, 0, 7]",5.676379493746371,0.3320785325519341,-40.68631480149443,19.74618054632766,-10.699047981214001,-0.020504534244537354,1495,-0.19260788827174402,raw_lidar_xy_decimated,8682,0.75,0.03188224239141846,-40.71819704388585,9,1.0,74.94131154600473,3,solution,23.901281356811523,-10.196999549865723,-0.5373302102088928,4.185321418087614,0.5168256759643555
,,,,,,,,,,,,,,,,,,,-64.79133493705918,2,,,4,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-147.34555813717074,1,,,5,skipped_insufficient_features,,,,,
5,0,inf,inf,5,"[375, 340, 366, 318, 370]","[5, 1, 3, 0, 6]",7.986447631435325,0.36733890601767283,-150.1732968671931,-0.2220730783711673,-61.33533680827089,0.11303138732910156,1930,-0.22595565785247904,raw_lidar_xy_decimated,10593,0.75,0.9162806247362312,-149.25701624245687,10,1.0,107.31431994200102,6,solution,-0.9627990126609802,-59.02731704711914,-0.45432978868484497,2.423969910621105,0.5673611760139465
,,,,,,,,,,,,,,,,,,,-109.2759993649763,2,,,7,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-114.39735521942477,2,,,8,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-104.79089921902104,1,,,9,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,,,,,-111.72540843703277,1,,,10,skipped_insufficient_features,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,8549,0.75,,-110.5384072461038,3,,0.01215383000089787,11,no_solution,,,,,
,,,,,,,,,,,,,,,raw_lidar_xy_decimated,7522,0.75,,-95.71127683719807,5,,6.393744643006357,12,no_solution,,,,,
2,0,inf,inf,4,"[414, 403, 366, 303]","[4, 3, 1, 0]",6.489160245269291,1.1396670673150506,-97.94180098371862,-26.805701196935964,-199.15030589968634,3.344308376312256,122,-0.13936148799193007,raw_lidar_xy_decimated,5438,0.75,1.851783261711148,-99.79358424542976,5,1.0,8.22363545699045,13,solution,-30.75284194946289,-198.97962951660156,2.7760562896728516,3.9508290962786203,0.5682520866394043
